iter	Passed	Remaining
371	854	1442
372	855	1438
373	856	1434
374	858	1430
375	859	1425
376	860	1421
377	862	1419
378	864	1416
379	866	1413
380	867	1409
381	868	1405
382	869	1401
383	871	1397
384	872	1394
385	874	1390
386	875	1387
387	878	1384
388	879	1381
389	881	1378
390	882	1374
391	883	1370
392	886	1368
393	887	1364
394	888	1361
395	889	1357
396	890	1353
397	893	1351
398	894	1347
399	896	1344
400	897	1340
401	898	1336
402	899	1332
403	901	1329
404	902	1325
405	903	1321
406	904	1317
407	906	1315
408	908	1312
409	909	1309
410	910	1305
411	912	1301
412	913	1298
413	914	1294
414	915	1290
415	916	1287
416	917	1283
417	919	1279
418	921	1277
419	922	1274
420	924	1271
421	925	1268
422	927	1264
423	928	1260
424	929	1257
425	930	1253
426	931	1250
427	932	1246
428	934	1243
429	936	1241
430	939	1240
431	940	1236
432	941	1233
433	943	1230
434	944	1226
435	946	1223
436	947	1220
437	948	1217
438	949	1213
439	952	1212
440	953	1208
441	955	1205
442	956	1202
443	957	1198
444	958	1195
445	959	1192
446	960	1188
447	962	1185
448	963	1182
449	964	1178
450	967	1178
451	969	1175
452	970	1172
453	971	1168
454	973	1165
